Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Криком журавлиным","Vitas","Возвращение домой: Криком журавлиным, Ч. 2","Favorite Songs","Favorite","FRX201605579","0OkKD79AhEPVOvBCSXcTeg"
"Посвящение","Vitas","Мама","Favorite Songs","Favorite","FRX201605510","3sNQhRzva15DUBWMFRnLfS"
"Звезда","Vitas","Мама","Favorite Songs","Favorite","FRX201605505","5JQCTkHfFhGJtJHMMmROtF"
"Опера #2","Vitas","Философия чуда","Favorite Songs","Favorite","FRX201605493","2fKog3E5P7HVQZs2sQMFrO"
"The King","Timmy Trumpet","The King","Favorite Songs","Favorite","NLZ542000976","19wgIwKRVTuKbKJB0lnCG5"
"Dark Paradise","Lana Del Rey","Born To Die - The Paradise Edition","Favorite Songs","Favorite","GBUM71111561","6qqdFWe7C4LsBjWbXQdsHA"
"Caribbean Blue - 2009 Remaster","Enya","Shepherd Moons","Favorite Songs","Favorite","GBAHT0900019","5KZ4DC772dYcRBAizx0yYk"
"Ride","Lana Del Rey","Ride (Remixes)","Favorite Songs","Favorite","GBUM71205878","3hp8RR49EJbku9VAPkVSol"
"Diet Mountain Dew","Lana Del Rey","Born To Die (Deluxe Version)","Favorite Songs","Favorite","GBUM71111528","3liOnWUe0m0bi4gjaBIkAu"
"Violets for Roses","Lana Del Rey","Blue Banisters","Favorite Songs","Favorite","GBUM72104285","5yrAkKml7mtzmPPbjB2qTC"
"Snow On The Beach (feat. More Lana Del Rey)","Taylor Swift","Midnights (The Til Dawn Edition)","Favorite Songs","Favorite","USUG12302773","4zmKGsrXjLmljb5fTaBTot"
"Old Money","Lana Del Rey","Ultraviolence (Deluxe)","Favorite Songs","Favorite","GBUM71402503","6IfPyMb0Sxptpx6jBUATOS"
"Landing Guy - Cover","陈一发儿","Landing Guy (Cover)","Favorite Songs","Favorite","TCAJW2514640","5fpiNuXFJDGS5PekPK6oq0"
"Raindrops","Katja Krasavice","Raindrops","Favorite Songs","Favorite","DEA622100828","3sZOiHgkXpDcilUBtHSixK"
"Brutus","Em Beihold","Brutus","Favorite Songs","Favorite","USUM72507337","5nUISKMcKG5KbWRDQx1Bvm"
"Main Title","Ramin Djawadi","Game Of Thrones (Music From The HBO Series)","Favorite Songs","Favorite","US3M51109701","2q6fxAvSpqXR4jx9Ne7RGz"
