Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"Rolling in the Deep","Adele","21","EEE","Playlist","GBBKS1000335","4OSBTYWVwsQhGLF9NHvIbR"
"Right Now (Na Na Na)","Akon","Freedom","EEE","Playlist","USUM70837868","5Ravsw8TmHN5wBiYPPYUFw"
"Faded","Alan Walker","Different World","EEE","Playlist","NOG841549010","698ItKASDavgwZ3WjaWjtz"
"Let Me Down Slowly","Alec Benjamin","Narrated For You","EEE","Playlist","USAT21802284","2qxmye6gAegTMjLKEBoR3d"
"Here With You","Asher Monroe","Here With You","EEE","Playlist","TCABI1272152","7FbBpvuTC1U811EzDXuYTD"
"Salt","Ava Max","Heaven & Hell","EEE","Playlist","USAT21906991","5iyZwawawLjHYpX4MxUKVF"
"The Nights","Avicii","The Days / Nights","EEE","Playlist","CH3131340464","0ct6r3EGTcMLPtrXHDvVjc"
"Waiting For Love","Avicii","Stories","EEE","Playlist","CHB701400134","2P4OICZRVAQcYAV2JReRfj"
"As Long as You Love Me","Backstreet Boys","Backstreet's Back","EEE","Playlist","USJI19710094","3UpS7kBnkVQYG13pDDFTC4"
"All Rise","Blue","All Rise","EEE","Playlist","GBAAA0100115","7jley98gCQFueQ5MCaFWIb"
"It's My Life","Bon Jovi","Crush","EEE","Playlist","USIR20000145","0v1XpBHnsbkCn7iJ9Ucr1l"
"Talking to the Moon","Bruno Mars","Doo-Wops & Hooligans","EEE","Playlist","USAT21001985","161DnLWsx1i3u1JT05lzqU"
"Everytime We Touch","Cascada","Platinum","EEE","Playlist","DEZ620500053","5aEqcblO0Z6JloFJXtxyhe"
"My Heart Will Go On - Love Theme from ""Titanic""","Céline Dion","Let's Talk About Love","EEE","Playlist","CAC229700120","33LC84JgLvK2KuW43MfaNq"
"Something Just Like This","The Chainsmokers","Memories...Do Not Open","EEE","Playlist","USQX91700278","6RUKPb4LETWmmr3iAEQktW"
"We Don't Talk Anymore (feat. Selena Gomez)","Charlie Puth","Nine Track Mind","EEE","Playlist","USAT21502909","06KyNuuMOX1ROXRhj787tj"
"Dream It Possible","Clarissa Höbel","Stay Strong","EEE","Playlist","ATU272000346","2CBRK2YUv7dGidwTRA9p7r"
"Hymn for the Weekend","Coldplay","A Head Full of Dreams","EEE","Playlist","GBAYE1500979","3RiPr603aXAoi4GHyXx0uy"
"Be What You Wanna Be","Darin","Darin","EEE","Playlist","SEBMC0500092","5vBVbnDaUTNGK9eLuLlKXd"
"Hotel California","Eagles","Take It To The Summit (Houston, TX 16th Nov '76)","EEE","Playlist","GBSMU2679348","1rh232CwAy3EDEWFJkwH88"
"Shape of You","Ed Sheeran","÷ (Deluxe)","EEE","Playlist","GBAHS1600463","7qiZfU4dY1lWllzX7mPBI3"
"The Phoenix","Fall Out Boy","Save Rock And Roll","EEE","Playlist","USUM71302620","7jwDuO7UZvWs77KNj9HbvF"
"We Will Rock You (feat. Queen)","Five","Invincible","EEE","Playlist","GBARL9900135","3WLIaMbTqXPcS7MmaVctTK"
"Whistle","Flo Rida","Wild Ones","EEE","Playlist","USAT21201745","3bC1ahPIYt1btJzSSEyyrF"
"Far Away from Home","Groove Coverage","Covergirl","EEE","Playlist","DEF910700131","3V5K580G9CVnn6h2q6B0PV"
"Sold Out","Hawk Nelson","Diamonds","EEE","Playlist","USM2C1415105","1WyBe9jWz0wbwUItMAnaLb"
"Wake (Studio)","Hillsong Young & Free","We Are Young & Free","EEE","Playlist","AUHS01305789","1glJZF62bpxXzaF2N5YWdb"
"Believer","Imagine Dragons","Evolve","EEE","Playlist","USUM71700626","0pqnGHJpmpxLKifKRmU6WP"
"Natural","Imagine Dragons","Origins (Deluxe)","EEE","Playlist","USUM71806694","2FY7b99s15jUprqC0M5NCT"
"You're Beautiful","James Blunt","Back to Bedlam","EEE","Playlist","USAT20401588","0vg4WnUWvze6pBOJDTq99k"
"You Raise Me Up","Josh Groban","Closer (Special Edition)","EEE","Playlist","USRE10301532","1xugsCboIm1yILqpLvH9aD"
"Stronger (What Doesn't Kill You)","Kelly Clarkson","Stronger (Deluxe Version)","EEE","Playlist","GBCTA1100364","1nInOsHbtotAmEOQhtvnzP"
"I Am You","Kim Taylor","Build You Up","EEE","Playlist","TCACB1491763","4RiFAOgQ6kQLMvO2Jp5F3T"
"Poker Face","Lady Gaga","The Fame","EEE","Playlist","USUM70824409","1QV6tiMFM6fSOKOGLMHYYg"
"Legends Never Die","League of Legends","Legends Never Die","EEE","Playlist","QMAF31500062","1FpVJ7HpZInE2GvhVE2TwT"
"RISE","League of Legends","RISE","EEE","Playlist","NLRD51859880","69Sy7207dnixZ6w7RSV9Kb"
"In the End","Linkin Park","Hybrid Theory (Bonus Edition)","EEE","Playlist","USWB10002407","60a0Rd6pjrkxjPbaKzXjfq"
"New Divide","Linkin Park","Transformers: Revenge Of The Fallen The Album","EEE","Playlist","USWB10901893","6Wx88Mv6b9ofjKMKkdwOJd"
"Numb","Linkin Park","Meteora","EEE","Playlist","USWB10300474","2nLtzopw4rPReszdYBJU6h"
"Despacito","Luis Fonsi","VIDA","EEE","Playlist","USUM71607007","6habFhsOp2NvshLv26DqMb"
"The Day You Went Away","M2M","Shades of Purple","EEE","Playlist","USAT29900961","1rYYJVlUV2EcgehVUnwJvy"
"Uptown Funk (feat. Bruno Mars)","Mark Ronson","Uptown Special","EEE","Playlist","GBARL1401524","32OlwWuMpZ6b0aN2RZOeMS"
"Sugar","Maroon 5","V (Asia Tour Edition)","EEE","Playlist","USUM71410340","5d6Mjuu2uCGRPYpFjGpCX5"
"Smooth Criminal - 2012 Remaster","Michael Jackson","Bad 25th Anniversary","EEE","Playlist","USSM11204989","2bCQHF9gdG5BNDVuEIEnNk"
"Take Me to Your Heart","Michael Learns To Rock","Michael Learns To Rock","EEE","Playlist","DKABA0308303","7rdtBpPpe4knfd7aD98h9X"
"Children of the Dark","Mono Inc.","Together Till the End","EEE","Playlist","DEA451616640","0XUdYMSq58kreVe5u66Zav"
"Håll om mig","Nanne","Alltid på väg","EEE","Playlist","SEPEL0512010","1ncViFeYXhivtuPumssvmZ"
"La La La","Naughty Boy","La La La","EEE","Playlist","GBAAA1300148","52gvlDnre9craz9dKGObp8"
"Bye Bye Beautiful","Nightwish","Dark Passion Play","EEE","Playlist","DED830710402","6uwjUM0Y0NfPmLBKVAbUXW"
"I Want My Tears Back","Nightwish","Imaginaerum","EEE","Playlist","DED831100554","3HCzXf0lNpekSqsGBcGrCd"
"That Girl","Olly Murs","24 HRS (Expanded Edition)","EEE","Playlist","GBARL1601143","6n2QOmyioHfAqwwAh5xZHK"
"What Makes You Beautiful","One Direction","Up All Night","EEE","Playlist","GBHMU1100018","4cluDES4hQEUhmXj6TXkSo"
"Counting Stars","OneRepublic","Native","EEE","Playlist","USUM71301306","2tpWsVSb9UEmDRxAl1zhX1"
"Good Time","Owl City","The Midsummer Station","EEE","Playlist","USUM71206288","1kPpge9JDLpcj15qgrPbYX"
"Try","P!nk","The Truth About Love","EEE","Playlist","USRC11200785","1jF7IL57ayN4Ity3jQqGu0"
"Lone Ranger","Rachel Platten","Wildfire","EEE","Playlist","USSM11503597","3eoyz3jZOHhko7hEwtEdnf"
"Right Here Waiting","Richard Marx","Repeat Offender","EEE","Playlist","USEM38900208","4LFwNJWoj74Yd71fIr1W8x"
"Never Gonna Give You Up","Rick Astley","Whenever You Need Somebody","EEE","Playlist","GBARL9300135","4PTG3Z6ehGkBFwjybzWkR8"
"Umbrella","Rihanna","Good Girl Gone Bad: Reloaded","EEE","Playlist","USUM70736771","49FYlytm3dAAraYgpoJZux"
"Dancing With Your Ghost","Sasha Alex Sloan","Dancing With Your Ghost","EEE","Playlist","USRC11901644","1TQXIltqoZ5XXyfCbAeSQQ"
"Hall of Fame","The Script","#3 Deluxe Version","EEE","Playlist","GBARL1201154","0FB5ILDICqwK6xj7W1RP9u"
"Señorita","Shawn Mendes","Señorita","EEE","Playlist","USUM71911283","0TK2YIli7K1leLovkQiNik"
"Move Your Body - Alan Walker Remix","Sia","This Is Acting (Deluxe Version)","EEE","Playlist","USRC11602027","6LUOMjoORvAkdhBYvESO46"
"Love Story","Taylor Swift","Fearless (Big Machine Radio Release Special)","EEE","Playlist","USCJY0803275","1D4PL9B8gOg78jiHg3FvBb"
"Apologize","Timbaland","Shock Value","EEE","Playlist","USUM70722793","6ucR4KfvsBFWCMVFDvyKKl"
"Dance Monkey","Tones And I","Dance Monkey (Stripped Back) / Dance Monkey","EEE","Playlist","QZES71982312","2XU0oxnq2qxCpomAAuJY8K"
