Track name,Artist name,Album,Playlist name,Type,ISRC,Spotify - id
"三套车","赵鹏","低音炮三套车","SSS","Playlist","CNF122000769","0M6COezmMWcUDYAsMB9zGP"
"Rolling in the Deep","Adele","21","SSS","Playlist","GBBKS1000335","4OSBTYWVwsQhGLF9NHvIbR"
"Believer","Imagine Dragons","Evolve","SSS","Playlist","USUM71700626","0pqnGHJpmpxLKifKRmU6WP"
"Wellerman - Sea Shanty","Nathan Evans","Wellerman (Sea Shanty)","SSS","Playlist","GBUM72100297","54OBgO0Xwu20Jak9TMXbR7"
"Valhalla Calling","Miracle Of Sound","Level 11","SSS","Playlist","QZPLR2029312","2nRKJI3XsWPb5d8VXwn2iK"
"喀秋莎","中央樂團合唱團","輝煌中央樂團---經典男聲合唱(外國篇)","SSS","Playlist","TWDL72018896","09iYOR0VMS0VErU9YMm1EG"
"贝加尔湖畔","李健","依然","SSS","Playlist","CNF181165108","7ekpG1Gi5rvK5KLsI3CZUE"
"離人","林志炫","擦聲而過","SSS","Playlist","TWB650100501","5rwEzOpDovuwZ12wAUbzQi"
"蒙娜麗莎的眼淚","林志炫","蒙娜麗莎的眼淚 豪華典藏版","SSS","Playlist","TWB659800202","4WUEnRgbZDE2uCky0tb2Cw"
"明天會更好","Tsai Chin","明天會更好","SSS","Playlist","TWA458500001","5bcbAT32LJS87hklgOxUqM"
"南屏晚鐘","Fei Yu-ching","費玉清國語精選輯","SSS","Playlist","TWAN70260034","38p78HqMLjECALsH0MWT7U"
"不為誰而作的歌","JJ Lin","""和自己對話"" 實驗專輯","SSS","Playlist","TWA531576502","0VqSdtXseb9khdZrnYVyM1"
"愛情轉移","Eason Chan","認了吧","SSS","Playlist","HKUM70600455","5geqxGTn2dFte1KywqcXYq"
"緣分一道橋","Leehom Wang","A.I. 愛","SSS","Playlist","TWV451600002","6yCtMlER4UYv49ke21NBM3"
"新贵妃醉酒","Li Yugang","For Love We 说好不后悔","SSS","Playlist","HKG732144307","5DBrtodbmfgdAfApC3Va8A"
"孤勇者 - 《英雄聯盟：雙城之戰》動畫劇集中文主題曲","Eason Chan","孤勇者 (《英雄聯盟：雙城之戰》動畫劇集中文主題曲)","SSS","Playlist","HKJ632103001","6akVETVeqqPVvuBS5e0EB1"
"大夢 - 现场","瓦依那","樂隊的夏天3 第7期","SSS","Playlist","CNZ852315133","3FjLaQqvIvWOQ2AverOgx7"
"女儿情（《西游记女儿国》电影推广曲）","冯绍峰","女儿情（《西游记女儿国》电影推广曲）","SSS","Playlist","TWDL71700655","3YAm2EEGDHODKQvmqlqE5l"
"牵丝戏","银临","牵丝戏","SSS","Playlist","ESA012437588","2E3WL1lY3deyPOID2UfisX"
"不由己（《黑神话：悟空》火焰山片尾曲）（Destiny）","陈彼得","不由己（《黑神话：悟空》火焰山片尾曲）（Destiny）","SSS","Playlist","HKG732455326","2ssnCoeFqhte8ZI6XIj4D9"
"未竟（《黑神话：悟空》结局主题曲）（Unfinished）","秦勇","未竟（《黑神话：悟空》结局主题曲）（Unfinished）","SSS","Playlist","HKG732455330","6wSh7DtQRJeknT6MCsuMfu"
"看见（《黑神话：悟空》黑风山片尾曲）（I See）","陳鴻宇","看见（《黑神话：悟空》黑风山片尾曲）（I See）","SSS","Playlist","HKG732455322","3ejpojtizqlony9KMqEgld"
"勿听（《黑神话：悟空》盘丝岭片尾曲）（Listen Not）","張紫寧(Winnie)","勿听（《黑神话：悟空》盘丝岭片尾曲）（Listen Not）","SSS","Playlist","HKG732455325","1qzckNoWUywnkdYYklWmTs"
"盗墓笔记·十年人间（八一七稻米节主题推广曲）","李常超","盗墓笔记·十年人间（八一七稻米节主题推广曲）","SSS","Playlist","HKG732348514","5rfizi4ekNre8Ydwd87akf"
"老男孩","筷子兄弟","父亲","SSS","Playlist","TWU711400205","3obsARE8dcVylLhsZUshvq"
"纸短情长","烟把儿乐队","纸短情长","SSS","Playlist","FR10S2147981","5cfcr39evQDFRVihTEcuUj"
"你不知道的事","Leehom Wang","十八般武藝","SSS","Playlist","TWA471010004","3HH9pAwNfQVXYVUbmHxWwn"
"夜空中最亮的星","逃跑计划EscapePlan","世界","SSS","Playlist","CNZ502001755","7mP4bBFQgt6B3sJfqkIzt2"
"一路向北","Jay Chou","11月的蕭邦","SSS","Playlist","TWK970500902","7KoqEF76fGnDYdxTSHLxcm"
"討厭紅樓夢","David Tao","黑色柳丁","SSS","Playlist","TWC210200005","7BHSV0J9IWich0yeU2g3H0"
"愛錯","Leehom Wang","心中的日月","SSS","Playlist","TWA470473010","4vdX5mQE0oXkflFqsqQkUP"
"大城小愛","Leehom Wang","蓋世英雄","SSS","Playlist","TWA470532006","0pzyN7Uy0bmDSsTs0iHuSC"
"好久不見","Eason Chan","認了吧","SSS","Playlist","HKUM70700735","7qtM492xyqdbh2vt5vBKaD"
"那些年","Hu Xia","燃點","SSS","Playlist","TWA471108014","3v8FOuA8jxAC5SOA2uN6Mg"
"最炫民族风","凤凰传奇","最炫民族风","SSS","Playlist","HKG732134612","5r67lqCD73xwwPVlsjK2jH"
"梦底","海来阿木","梦底","SSS","Playlist","FR2X42669749","6rjHzZoukHUDiZu6py4u60"
"散了吧","林志炫","散了吧 豪華典藏版","SSS","Playlist","TWA479703003","5L0Xh3L8mNMVqHpiaoUgCr"
"愛江山更愛美人","李麗芬","就這樣約定","SSS","Playlist","TWA459438708","3Vk5iJOtG6ny2L5uAIzcoj"
"五十年以后","海来阿木","五十年以后","SSS","Playlist","HKG732152906","0kgs92vcvTsH2zwabta6Ts"
